,AJM,MGH,CCA,SFE,UAX,CUA,NEZ,CAM,LPR,SJA,CHO,IZT,SAG,TAH,ATI,FAC,UIZ,MER,PED,TLA,BJU,XAL
AJM,1.0,0.9358740787129182,0.9568544765027573,0.923314443208435,0.9293076643093706,0.9352976647994389,0.8958550815547319,0.9095084329955763,0.8246704965307542,0.8962879073524559,0.8341264682634036,0.9275748308989104,0.8809440170065337,0.8952894620137601,0.8872126144477164,0.8950873126035511,0.9152580549486995,0.9144687405165409,0.9616938689452821,0.8948009714679731,0.9410958458678974,0.8448052389696101
MGH,0.9358740787129182,1.0,0.9670478504243998,0.9139095737510567,0.9556683401333104,0.940010745138334,0.9288835612525862,0.9708397675964388,0.9045607124018867,0.9465170428141538,0.8708179163584024,0.9626304366728957,0.9344605361407957,0.9253781058550741,0.9365221256100404,0.9465278127193469,0.9499889246657022,0.9646591235735321,0.9692730434342727,0.9500193227251088,0.9747027980114252,0.9183211694994216
CCA,0.9568544765027573,0.9670478504243998,1.0,0.9140748976657206,0.9660115831506282,0.9392227054095857,0.9335094948914949,0.947081826202878,0.8923405795824758,0.9337614027523576,0.8825862341284683,0.9687682875305352,0.9265529688317212,0.9274836712502122,0.923020158892744,0.9274701100289149,0.951107152705086,0.9526575304296817,0.9898472996127805,0.9330094271335666,0.9826865225534183,0.9090706445619391
SFE,0.923314443208435,0.9139095737510567,0.9140748976657206,1.0,0.9046662059787374,0.9738798090040562,0.9081556791067935,0.8920375103228447,0.8075864082515338,0.9070905496737496,0.8163924853220292,0.901772087186091,0.8830004761764961,0.8664079939182178,0.9108570967801579,0.9123640379059104,0.896009377855595,0.9034928237957428,0.9218166164197765,0.8956334570559069,0.9112060087974542,0.8169708395768587
UAX,0.9293076643093706,0.9556683401333104,0.9660115831506282,0.9046662059787374,1.0,0.9273555021374258,0.956552551780414,0.9573846395135643,0.9064785033454954,0.9521880281012417,0.9159323542440537,0.9707191775941175,0.9506197101540059,0.955882856589484,0.9282492874157803,0.9330239999002993,0.976448502329093,0.9598360390676677,0.9556930785935212,0.9420037971670947,0.971414899015904,0.9195427563706021
CUA,0.9352976647994389,0.940010745138334,0.9392227054095857,0.9738798090040562,0.9273555021374258,1.0,0.9126508598646902,0.9125864209616767,0.8491177237127546,0.9172608830674869,0.8414187883213665,0.9202040146460053,0.898562198678473,0.8930555630914411,0.9238155023499097,0.9320718759122523,0.9139176944766827,0.9219649061816004,0.942691880654596,0.9180923013392528,0.9348520056278877,0.8571900531410941
NEZ,0.8958550815547319,0.9288835612525862,0.9335094948914949,0.9081556791067935,0.956552551780414,0.9126508598646902,1.0,0.9354760247265407,0.8893826324227299,0.9564943400452381,0.9086449001450304,0.9528575696931209,0.9517533575539103,0.9335222291171442,0.9287841116770817,0.9232730878655754,0.9716072737930971,0.9516095543216206,0.9285672791125406,0.9304605833873929,0.9451115386644228,0.9064780313004199
CAM,0.9095084329955763,0.9708397675964388,0.947081826202878,0.8920375103228447,0.9573846395135643,0.9125864209616767,0.9354760247265407,1.0,0.9265419746001359,0.9600410643580032,0.8910787045976887,0.963974348053505,0.9512351299894055,0.9380803471227273,0.9435163160039188,0.9540054093917187,0.9621894875433489,0.9714993836640731,0.9486601548511012,0.9695229541768098,0.964484210637119,0.9364733521084091
LPR,0.8246704965307542,0.9045607124018867,0.8923405795824758,0.8075864082515338,0.9064785033454954,0.8491177237127546,0.8893826324227299,0.9265419746001359,1.0,0.9224059314283674,0.871486438760553,0.9043236971638458,0.9280299110551428,0.8857976296210001,0.901193644300088,0.8972455635743989,0.9134700142637158,0.9156722596610616,0.8861109084001068,0.9158351798043189,0.908388888006584,0.9611632608329821
SJA,0.8962879073524559,0.9465170428141538,0.9337614027523576,0.9070905496737496,0.9521880281012417,0.9172608830674869,0.9564943400452381,0.9600410643580032,0.9224059314283674,1.0,0.8866033952221664,0.9629773838586371,0.9567483949501036,0.9274468521670627,0.9371789463376865,0.938437847776655,0.9623369521048643,0.9800649654972061,0.9298904630297694,0.9447919986697401,0.9539605486318321,0.9338385866706006
